dteday,season,yr,hr,weekday,rider_type,riders,price,COGS,revenue,profit
1/1/2021,1,0,0,6,casual,3,3.99,1.24,11.97,10.73
1/1/2021,1,0,0,6,registered,13,3.99,1.24,51.87,50.63
1/1/2021,1,0,1,6,casual,8,3.99,1.24,31.92,30.68
1/1/2021,1,0,1,6,registered,32,3.99,1.24,127.68,126.44
1/1/2021,1,0,10,6,casual,12,3.99,1.24,47.88,46.64
1/1/2021,1,0,10,6,registered,24,3.99,1.24,95.76,94.52
1/1/2021,1,0,11,6,casual,26,3.99,1.24,103.74,102.5
1/1/2021,1,0,11,6,registered,30,3.99,1.24,119.7,118.46
1/1/2021,1,0,12,6,casual,29,3.99,1.24,115.71,114.47
1/1/2021,1,0,12,6,registered,55,3.99,1.24,219.45,218.21
1/1/2021,1,0,13,6,casual,47,3.99,1.24,187.53,186.29
1/1/2021,1,0,13,6,registered,47,3.99,1.24,187.53,186.29
1/1/2021,1,0,14,6,casual,35,3.99,1.24,139.65,138.41
1/1/2021,1,0,14,6,registered,71,3.99,1.24,283.29,282.05
1/1/2021,1,0,15,6,casual,40,3.99,1.24,159.6,158.36
1/1/2021,1,0,15,6,registered,70,3.99,1.24,279.3,278.06
1/1/2021,1,0,16,6,casual,41,3.99,1.24,163.59,162.35
1/1/2021,1,0,16,6,registered,52,3.99,1.24,207.48,206.24
1/1/2021,1,0,17,6,casual,15,3.99,1.24,59.85,58.61
1/1/2021,1,0,17,6,registered,52,3.99,1.24,207.48,206.24
1/1/2021,1,0,18,6,casual,9,3.99,1.24,35.91,34.67
1/1/2021,1,0,18,6,registered,26,3.99,1.24,103.74,102.5
1/1/2021,1,0,19,6,casual,6,3.99,1.24,23.94,22.7
1/1/2021,1,0,19,6,registered,31,3.99,1.24,123.69,122.45
1/1/2021,1,0,2,6,casual,5,3.99,1.24,19.95,18.71
1/1/2021,1,0,2,6,registered,27,3.99,1.24,107.73,106.49
1/1/2021,1,0,20,6,casual,11,3.99,1.24,43.89,42.65
1/1/2021,1,0,20,6,registered,25,3.99,1.24,99.75,98.51
1/1/2021,1,0,21,6,casual,3,3.99,1.24,11.97,10.73
1/1/2021,1,0,21,6,registered,31,3.99,1.24,123.69,122.45
1/1/2021,1,0,22,6,casual,11,3.99,1.24,43.89,42.65
1/1/2021,1,0,22,6,registered,17,3.99,1.24,67.83,66.59
1/1/2021,1,0,23,6,casual,15,3.99,1.24,59.85,58.61
1/1/2021,1,0,23,6,registered,24,3.99,1.24,95.76,94.52
1/1/2021,1,0,3,6,casual,3,3.99,1.24,11.97,10.73
1/1/2021,1,0,3,6,registered,10,3.99,1.24,39.9,38.66
1/1/2021,1,0,4,6,casual,0,3.99,1.24,0,-1.24
1/1/2021,1,0,4,6,registered,1,3.99,1.24,3.99,2.75
1/1/2021,1,0,5,6,casual,0,3.99,1.24,0,-1.24
1/1/2021,1,0,5,6,registered,1,3.99,1.24,3.99,2.75
1/1/2021,1,0,6,6,casual,2,3.99,1.24,7.98,6.74
1/1/2021,1,0,6,6,registered,0,3.99,1.24,0,-1.24
1/1/2021,1,0,7,6,casual,1,3.99,1.24,3.99,2.75
1/1/2021,1,0,7,6,registered,2,3.99,1.24,7.98,6.74
1/1/2021,1,0,8,6,casual,1,3.99,1.24,3.99,2.75
1/1/2021,1,0,8,6,registered,7,3.99,1.24,27.93,26.69
1/1/2021,1,0,9,6,casual,8,3.99,1.24,31.92,30.68
1/1/2021,1,0,9,6,registered,6,3.99,1.24,23.94,22.7
1/10/2021,4,0,0,6,casual,24,3.99,1.24,95.76,94.52
1/10/2021,4,0,0,6,registered,106,3.99,1.24,422.94,421.7
1/10/2021,4,0,1,6,casual,11,3.99,1.24,43.89,42.65
1/10/2021,4,0,1,6,registered,47,3.99,1.24,187.53,186.29
1/10/2021,4,0,10,6,casual,21,3.99,1.24,83.79,82.55
1/10/2021,4,0,10,6,registered,100,3.99,1.24,399,397.76
1/10/2021,4,0,11,6,casual,30,3.99,1.24,119.7,118.46
1/10/2021,4,0,11,6,registered,102,3.99,1.24,406.98,405.74
1/10/2021,4,0,12,6,casual,28,3.99,1.24,111.72,110.48
1/10/2021,4,0,12,6,registered,130,3.99,1.24,518.7,517.46
1/10/2021,4,0,13,6,casual,27,3.99,1.24,107.73,106.49
1/10/2021,4,0,13,6,registered,98,3.99,1.24,391.02,389.78
1/10/2021,4,0,14,6,casual,33,3.99,1.24,131.67,130.43
1/10/2021,4,0,14,6,registered,147,3.99,1.24,586.53,585.29
1/10/2021,4,0,15,6,casual,41,3.99,1.24,163.59,162.35
1/10/2021,4,0,15,6,registered,154,3.99,1.24,614.46,613.22
1/10/2021,4,0,16,6,casual,58,3.99,1.24,231.42,230.18
1/10/2021,4,0,16,6,registered,165,3.99,1.24,658.35,657.11
1/10/2021,4,0,17,6,casual,58,3.99,1.24,231.42,230.18
1/10/2021,4,0,17,6,registered,170,3.99,1.24,678.3,677.06
1/10/2021,4,0,18,6,casual,23,3.99,1.24,91.77,90.53
1/10/2021,4,0,18,6,registered,117,3.99,1.24,466.83,465.59
1/10/2021,4,0,19,6,casual,27,3.99,1.24,107.73,106.49
1/10/2021,4,0,19,6,registered,99,3.99,1.24,395.01,393.77
